0:0:0:0:0:0:0:1 - - [28/Feb/2023:11:13:45 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [28/Feb/2023:11:13:45 +0530] "GET /project_3/WelcomeCtl HTTP/1.1" 200 3747
0:0:0:0:0:0:0:1 - - [28/Feb/2023:11:13:45 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [28/Feb/2023:11:13:50 +0530] "GET /project_3/ HTTP/1.1" 200 801
0:0:0:0:0:0:0:1 - - [28/Feb/2023:11:15:22 +0530] "GET /project_3/ctl HTTP/1.1" 200 7505
0:0:0:0:0:0:0:1 - - [28/Feb/2023:11:15:58 +0530] "GET /project_3/UserRegistrationCtl HTTP/1.1" 200 12169
0:0:0:0:0:0:0:1 - - [28/Feb/2023:11:15:58 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [28/Feb/2023:11:15:58 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [28/Feb/2023:11:16:39 +0530] "POST /project_3/UserRegistrationCtl HTTP/1.1" 200 12331
0:0:0:0:0:0:0:1 - - [28/Feb/2023:11:16:39 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [28/Feb/2023:11:16:39 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [28/Feb/2023:11:16:50 +0530] "POST /project_3/UserRegistrationCtl HTTP/1.1" 200 12352
0:0:0:0:0:0:0:1 - - [28/Feb/2023:11:16:50 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [28/Feb/2023:11:16:50 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
